case_id,lawyer_id,feature_S_qualis,feature_T_titulacao,feature_E_experiencia,feature_M_multidisciplinar,feature_C_complexidade,feature_P_honorarios,feature_R_reputacao,feature_Q_qualificacao,similarity_score,offer_accepted
d290f1ee-6c54-4b01-90e6-d701748f0851,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a11,0.8,0.5,0.9,0.2,0.7,0.4,0.8,0.6,0.85,1
d290f1ee-6c54-4b01-90e6-d701748f0852,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a12,0.4,0.8,0.3,0.9,0.5,0.8,0.4,0.7,0.65,0
d290f1ee-6c54-4b01-90e6-d701748f0853,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a13,0.9,0.9,0.8,0.8,0.9,0.2,0.9,0.9,0.92,1
d290f1ee-6c54-4b01-90e6-d701748f0854,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a14,0.2,0.3,0.4,0.5,0.3,0.9,0.2,0.4,0.33,0
d290f1ee-6c54-4b01-90e6-d701748f0855,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a15,0.7,0.6,0.8,0.4,0.6,0.5,0.7,0.7,0.78,1
d290f1ee-6c54-4b01-90e6-d701748f0856,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a16,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50,0
d290f1ee-6c54-4b01-90e6-d701748f0857,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a17,0.8,0.2,0.7,0.1,0.8,0.3,0.9,0.4,0.81,1
d290f1ee-6c54-4b01-90e6-d701748f0858,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a18,0.3,0.7,0.2,0.8,0.4,0.7,0.3,0.6,0.45,0
d290f1ee-6c54-4b01-90e6-d701748f0859,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a19,0.9,0.8,0.9,0.7,0.8,0.1,0.9,0.8,0.95,1
d290f1ee-6c54-4b01-90e6-d701748f0860,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a20,0.1,0.2,0.1,0.3,0.2,0.9,0.1,0.2,0.15,0
d290f1ee-6c54-4b01-90e6-d701748f0861,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a21,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.70,1
d290f1ee-6c54-4b01-90e6-d701748f0862,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a22,0.6,0.4,0.5,0.3,0.6,0.6,0.6,0.5,0.60,0
d290f1ee-6c54-4b01-90e6-d701748f0863,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a23,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.80,1
d290f1ee-6c54-4b01-90e6-d701748f0864,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a24,0.4,0.6,0.3,0.7,0.4,0.6,0.4,0.6,0.55,0
d290f1ee-6c54-4b01-90e6-d701748f0865,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a25,0.9,0.5,0.9,0.3,0.8,0.2,0.9,0.7,0.88,1
d290f1ee-6c54-4b01-90e6-d701748f0866,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a26,0.2,0.5,0.2,0.6,0.3,0.8,0.2,0.5,0.38,0
d290f1ee-6c54-4b01-90e6-d701748f0867,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a27,0.8,0.6,0.7,0.5,0.7,0.4,0.8,0.6,0.75,1
d290f1ee-6c54-4b01-90e6-d701748f0868,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a28,0.5,0.7,0.4,0.8,0.5,0.7,0.5,0.7,0.62,0
d290f1ee-6c54-4b01-90e6-d701748f0869,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a29,0.9,0.9,0.9,0.9,0.9,0.1,0.9,0.9,0.98,1
d290f1ee-6c54-4b01-90e6-d701748f0870,a0eebc99-9c0b-4ef8-bb6d-6bb9bd380a30,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.10,0 
 